0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,sentiment
33,117,5,53,214,11,47,8,155,4,19,337,19,1,546,416,2,241,190,6,812,0,0,0
21,48,54,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,11,1,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
813,8,83,11,418,547,84,50,814,242,815,144,0,0,0,0,0,0,0,0,0,0,0,0
1,338,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,22,8,816,1,155,8,70,4,8,273,55,145,8,70,339,146,0,0,0,0,0,0,0
49,23,22,215,817,65,215,818,419,100,819,1,820,12,340,821,12,130,36,190,36,0,0,0
49,23,34,274,822,23,341,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
823,8,216,2,548,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6,118,12,85,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,32,25,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
549,17,15,173,71,243,43,1,275,29,8,1,550,29,0,0,0,0,0,0,0,0,0,1
49,1,119,342,824,190,6,825,174,826,2,276,8,551,827,420,3,828,32,43,1,27,0,0
15,21,25,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,156,5,15,829,31,1,39,343,5,13,15,102,64,37,0,0,0,0,0,0,0,0,0
175,60,11,77,36,422,40,6,344,552,9,0,0,0,0,0,0,0,0,0,0,0,0,1
2,553,423,86,13,46,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,131,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,831,161,345,19,6,214,20,157,23,832,176,132,20,833,41,191,0,0,0,0,0,0,0
2,217,18,834,554,3,835,37,836,30,107,13,70,4,8,424,147,0,0,0,0,0,0,0
2,103,7,8,38,14,10,837,555,3,346,838,4,0,0,0,0,0,0,0,0,0,0,1
1,839,34,1,218,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,425,8,556,7,78,29,426,119,347,3,557,244,177,192,277,0,0,0,0,0,0,1
2,103,4,11,10,841,3,348,26,6,133,14,1,29,0,0,0,0,0,0,0,0,0,0
16,427,428,9,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,558,7,9,11,559,178,104,3,87,216,20,57,1,66,278,9,51,26,0,0,0,0,1
2,219,162,20,1,349,429,342,279,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0
163,843,148,47,193,3,2,26,8,560,67,1,844,3,193,18,1,9,0,0,0,0,0,0
108,280,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6,245,194,9,8,38,30,1,845,5,846,0,0,0,0,0,0,0,0,0,0,0
7,24,5,847,11,163,45,47,848,246,34,15,849,0,0,0,0,0,0,0,0,0,0,1
4,5,561,19,6,850,94,64,851,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,119,84,179,350,19,7,853,3,2,351,7,9,0,0,0,0,0,0,0,0,0,0
94,83,31,35,31,854,83,34,430,8,149,281,23,195,556,67,12,855,856,857,0,0,0,1
64,562,196,858,8,70,8,44,9,563,43,1,56,23,88,282,18,1,9,29,134,5,859,0
4,40,352,55,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,193,56,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,5,16,3,28,135,14,1,860,0,0,0,0,0,0,0,0,0,0,0,0,0,1
431,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40,6,16,136,432,861,3,1,862,34,72,3,150,14,16,248,25,0,0,0,0,0,1
2,17,13,173,190,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,27,249,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,68,148,863,11,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
